gamma,Dynamic Scanning,DBI_v1,DBI_v2,Dynamic ATI
0.1,917.8833333333333,160.15,125.375,125.39166666666667
0.2,1622.026,305.756,241.332,242.106
0.3,2198.3554054054052,435.2027027027027,343.2837837837838,344.79594594594596
0.4,2687.402,564.672,447.346,448.648
0.5,3203.25625,697.784375,553.3203125,554.7375
0.6,3572.4403846153846,814.95,647.5057692307693,648.4653846153847
0.7,3829.6783333333333,924.78,735.2633333333333,736.015
0.8,4060.0307692307692,1021.6,813.4519230769231,813.373076923077
0.9,4151.953448275862,1104.893103448276,881.7931034482758,881.3396551724138
1.0,4184.048076923077,1153.3423076923077,923.9153846153846,922.6730769230769
